,Adresse,Anzahl Bewertungen,Anzahl Sterne,Art der Unterkunft,Ausstattung,Gesamtnote,Hotelpersonal,Komfort,Lage,Land,Link zu Unterkunft,Name des Hotels,Ort,Preis/Leistung,Sauberkeit,Kanton
508,"Dorfstrasse 26, 3715 Adelboden, Schweiz", 191 ,2,Hotel,"7,5"," 8,3 ","8,5","7,4","9,4", Schweiz,https://www.booking.com/hotel/ch/kreuz-adelboden.de.html,Hotel Kreuz,"46.49226937,7.55787224","8,1","8,8",Bern
509,"Dorfstrasse 155, 3818 Grindelwald, Schweiz", 357 ,3,Hotel,"8,0"," 8,5 ","8,4","8,5","9,0", Schweiz,https://www.booking.com/hotel/ch/grindelwalderhof-grindelwald.de.html,Grindelwalderhof,"46.62351832,8.03898275","7,8","8,9",Bern
510,"Berghaus Männlichen, 3818 Grindelwald, Schweiz", 186 ,,Gasthaus,"8,5"," 9,1 ","9,2","8,9","9,6", Schweiz,https://www.booking.com/hotel/ch/berghaus-ma-nnlichen.de.html,Berghaus Männlichen,"46.61322178,7.94165611","8,7","9,5",Bern
511,"untere Hauptgasse 2, 3600 Thun, Schweiz", 307 ,,Gasthaus,"7,4"," 8,1 ","8,1","7,6","9,1", Schweiz,https://www.booking.com/hotel/ch/zunfthaus-zu-metzgern.de.html,Zunfthaus zu Metzgern,"46.75987192,7.62883745","7,8","8,7",Bern
512,"Schachenstrasse 43, 3700 Spiez, Schweiz", 468 ,3,Hotel,"7,9"," 8,3 ","8,9","7,7","8,5", Schweiz,https://www.booking.com/hotel/ch/gastehaus-seeblick.de.html,ABZ Spiez Hotel Seaside,"46.68498967,7.69080251","7,8","9,0",Bern
513,"Mittelstrasse 6, Länggasse-Felsenau, 3012 Bern, Schweiz", 559 ,3,Hotel,"8,1"," 8,4 ","9,1","8,0","8,6", Schweiz,https://www.booking.com/hotel/ch/arabelle.de.html,Sorell Hotel Arabelle,"46.95366681,7.43271802","7,5","8,8",Bern
514,"Gwattstrasse 1, 3604 Thun, Schweiz", 251 ,3,Hotel,"8,0"," 8,1 ","8,7","7,9","8,3", Schweiz,https://www.booking.com/hotel/ch/restaurant-holiday.de.html,Hotel Restaurant Holiday,"46.74129801,7.62804151","7,1","8,7",Bern
515,"1 Obereigasse, 3812 Wilderswil, Schweiz", 103 ,2,Hotel,"7,9"," 8,3 ","9,2","8,0","8,1", Schweiz,https://www.booking.com/hotel/ch/heimat-wilderswil.de.html,Hotel Heimat,"46.66022100,7.86342000","8,0","8,8",Bern
516,"Dorfstrasse 22, 3715 Adelboden, Schweiz", 206 ,3,Hotel,"8,6"," 8,9 ","9,2","8,7","9,0", Schweiz,https://www.booking.com/hotel/ch/baren-adelboden.de.html,Hotel Bären,"46.49232107,7.55825043","8,2","9,4",Bern
517,"Postfach, 3775 Lenk im Simmental, Schweiz", 31 ,,Hotel,"7,0"," 8,2 ","9,1","6,9","9,8", Schweiz,https://www.booking.com/hotel/ch/berghotel-leiterli.de.html,Berghotel Leiterli,"46.42874712,7.40908742","7,6","8,5",Bern
518,"Dorfstrasse 175, 3818 Grindelwald, Schweiz", 143 ,3 Sterne,Gasthaus,"8,3"," 8,8 ","9,1","8,7","9,5", Schweiz,https://www.booking.com/hotel/ch/alte-post-grindelwald.de.html,Hotel Alte Post,"46.62478568,8.04134846","8,1","9,3",Bern
519,"Sägegasse 33, 3400 Burgdorf, Schweiz", 188 ,3,Hotel,"8,8"," 8,9 ","9,3","8,7","8,4", Schweiz,https://www.booking.com/hotel/ch/landhaus-burgdorf.de.html,Landhaus Burgdorf,"47.05410888,7.62915685","8,2","9,4",Bern
520,"Mauren 555, 3803 Beatenberg, Schweiz", 121 ,2,Hotel,"8,3"," 8,8 ","9,3","8,6","9,1", Schweiz,https://www.booking.com/hotel/ch/beausite-beatenberg.de.html,Hotel Beausite Beatenberg,"46.70230884,7.81108081","8,1","9,3",Bern
521,"Gerberngasse 1, 3600 Thun, Schweiz", 148 ,,Hotel,"8,5"," 8,6 ","8,8","8,5","9,2", Schweiz,https://www.booking.com/hotel/ch/rathaus-ristorante-pizzicata.de.html,Hotel Rathaus-Ristorante Pizzicata,"46.75971264,7.62819305","7,9","8,8",Bern
522,"Hauptstrasse 44, 3800 Interlaken, Schweiz", 242 ,2,Hotel,"7,2"," 7,6 ","8,1","7,2","7,8", Schweiz,https://www.booking.com/hotel/ch/basic-rooms-alpina.de.html,BasicRooms Hotel,"46.67848297,7.86474109","7,4","7,9",Bern
523,"General-Guisan-Str. 31, 3800 Interlaken, Schweiz", 612 ,3,Hotel,"8,1"," 8,5 ","9,0","8,2","8,9", Schweiz,https://www.booking.com/hotel/ch/lotschberg.de.html,Hotel Lötschberg,"46.68168122,7.85374403","7,8","8,8",Bern
524,"Dorfstrasse 15, 3715 Adelboden, Schweiz", 103 ,3,Hotel,"7,3"," 8,1 ","8,4","7,6","8,9", Schweiz,https://www.booking.com/hotel/ch/viktoria-eden.de.html,Hotel Viktoria Eden,"46.49345116,7.56022990","7,3","8,7",Bern
525,"Bernastrasse 24, 3800 Interlaken, Schweiz", 509 ,3,Hotel,"8,1"," 8,4 ","9,0","8,0","8,9", Schweiz,https://www.booking.com/hotel/ch/de-la-paix-interlaken.de.html,Hotel De La Paix,"46.68039311,7.85401896","7,7","8,7",Bern
526,"Uesseri Hauptstrasse, 3718 Kandersteg, Schweiz", 322 ,3,Hotel,"7,9"," 8,2 ","8,2","8,0","8,9", Schweiz,https://www.booking.com/hotel/ch/chalet-adler.de.html,Chalet Hotel Adler,"46.49563741,7.67428279","7,5","8,6",Bern
527,"Hotel Seeburg, 3852 Ringgenberg, Schweiz", 313 ,3,Hotel,"8,4"," 8,8 ","9,2","8,7","9,4", Schweiz,https://www.booking.com/hotel/ch/seeburg-ringgenberg.de.html,Hotel Seeburg,"46.70147005,7.89806753","7,9","9,0",Bern
528,"Kirchbühlstrasse 23, 3818 Grindelwald, Schweiz", 179 ,4 Sterne,Aparthotel,"8,3"," 8,4 ","8,6","8,4","8,8", Schweiz,https://www.booking.com/hotel/ch/kirchba1-4hl-home.de.html,Kirchbühl@home,"46.62717546,8.04550103","7,5","8,8",Bern
529,"Obere Gletscherstrasse 1, 3818 Grindelwald, Schweiz", 370 ,3,Hotel,"8,9"," 9,2 ","9,6","9,2","9,3", Schweiz,https://www.booking.com/hotel/ch/gletschergarten.de.html,Hotel Gletschergarten,"46.62551145,8.04636687","8,7","9,6",Bern
530,"Twing 365a, Wasserwendi, 6084 Hasliberg, Schweiz", 328 ,3,Hotel,"7,0"," 8,0 ","8,9","7,2","8,9", Schweiz,https://www.booking.com/hotel/ch/twing-halsiberg.de.html,Hotel Twing,"46.74499431,8.19610924","7,7","8,0",Bern
531,"Bernstrasse 44, 4923 Wynau, Schweiz", 229 ,,Hotel,"7,5"," 7,9 ","8,1","7,7","7,4", Schweiz,https://www.booking.com/hotel/ch/pamakin.de.html,Hotel Pamakin,"47.25663103,7.82061607","8,1","8,2",Bern
532,"Dorfstrasse 157, 3818 Grindelwald, Schweiz", 236 ,,Hotel,"8,2"," 8,6 ","8,8","8,3","9,2", Schweiz,https://www.booking.com/hotel/ch/bellevue-steuri-pinte.de.html,Hotel Bellevue Pinte,"46.62356990,8.03952456","8,0","8,9",Bern
533,"Freimettigenstrasse 9, Stalden i. E., 3510 Konolfingen, Schweiz", 258 ,4,Hotel,"8,8"," 8,8 ","9,1","8,9","8,5", Schweiz,https://www.booking.com/hotel/ch/park-swiss-quality-schloss-hunigen.de.html,Hotel Schloss Hünigen,"46.87254371,7.62289166","8,1","9,3",Bern
534,"Axalpstrasse, 3855 Giessbach, Schweiz", 782 ,4,Hotel,"8,5"," 8,8 ","8,9","8,6","9,4", Schweiz,https://www.booking.com/hotel/ch/grandhotel-giessbach.de.html,Grandhotel Giessbach,"46.73538820,8.02325696","8,0","9,1",Bern
535,"Innere Dorfstrasse 62, 3718 Kandersteg, Schweiz", 220 ,2 Sterne,Gasthaus,"8,0"," 8,5 ","8,6","8,1","8,6", Schweiz,https://www.booking.com/hotel/ch/alpes-kandersteg.de.html,Hotel Des Alpes,"46.48985953,7.67137796","8,6","9,1",Bern
536,"Rüttihubel 29, 3512 Walkringen, Schweiz", 161 ,3,Hotel,"7,9"," 8,5 ","8,9","7,9","8,6", Schweiz,https://www.booking.com/hotel/ch/restaurant-ruttihubelbad.de.html,Restaurant Hotel Rüttihubelbad,"46.93984670,7.59829044","8,3","9,1",Bern
537,"Militärstrasse 38, Breitenrain-Lorraine, 3014 Bern, Schweiz", 560 ,3,Hotel,"8,8"," 9,0 ","9,4","8,9","8,8", Schweiz,https://www.booking.com/hotel/ch/jardin.de.html,Hotel Jardin,"46.95885839,7.45787244","8,3","9,4",Bern
538,"Brienzstrasse 38, 3800 Interlaken, Schweiz", 541 ,3,Hotel,"6,8"," 7,1 ","7,4","7,3","7,5", Schweiz,https://www.booking.com/hotel/ch/india-village-guesthouse-amp-apartment.de.html,India Village Guesthouse,"46.69297109,7.87062585","6,6","7,3",Bern
539,"Wagnerenstrasse 15, 3800 Interlaken, Schweiz", 286 ,2,Hotel,"7,2"," 7,6 ","8,6","7,3","7,3", Schweiz,https://www.booking.com/hotel/ch/waldhotel-unspunnen.de.html,Waldhotel Unspunnen,"46.67221475,7.85580397","7,0","8,1",Bern
540,"Tuftbach 2, 3818 Grindelwald, Schweiz", 280 ,3,Hotel,"7,1"," 7,5 ","8,3","7,3","7,6", Schweiz,https://www.booking.com/hotel/ch/eigerblick.de.html,Hotel Eigerblick,"46.62878340,8.02334270","7,0","7,9",Bern
541,"Inneri Hauptstrasse, 3718 Kandersteg, Schweiz", 187 ,,Gasthaus,"7,0"," 8,1 ","8,9","7,2","9,0", Schweiz,https://www.booking.com/hotel/ch/pension-spycher.de.html,Hotel Pension Spycher,"46.49324804,7.67271638","7,8","8,6",Bern
542,"Thunstrasse 80 - Muri, Muri, 3074 Bern, Schweiz", 674 ,4,Hotel,"8,4"," 8,5 ","8,9","8,5","8,3", Schweiz,https://www.booking.com/hotel/ch/landgasthof-sternen.de.html,Hotel Sternen Muri,"46.93118386,7.48653889","7,7","9,2",Bern
543,"Berghaus Bort, 3818 Grindelwald, Schweiz", 246 ,3,Hotel,"8,9"," 9,1 ","9,2","8,9","9,3", Schweiz,https://www.booking.com/hotel/ch/berghaus-bort.de.html,Berghaus Bort,"46.64646249,8.05226505","8,5","9,5",Bern
544,"Lindenegg 5, 2502 Biel/Bienne, Schweiz", 80 ,3,Hotel,"6,9"," 7,7 ","8,1","7,0","8,9", Schweiz,https://www.booking.com/hotel/ch/pop-up-lindenegg.de.html,POP-UP VILLA LINDENEGG,"47.14103881,7.24349609","7,0","8,0",Bern
545,"Seestrasse 22, 3806 Bönigen, Schweiz", 311 ,3,Hotel,"7,5"," 8,1 ","8,4","7,8","9,0", Schweiz,https://www.booking.com/hotel/ch/seehotel-bonigen.de.html,Seehotel Bönigen,"46.68838256,7.90051103","7,1","8,5",Bern
546,"Hauptstrasse 10, 3800 Interlaken, Schweiz", 743 ,2,Hotel,"8,3"," 8,5 ","9,1","8,1","8,8", Schweiz,https://www.booking.com/hotel/ch/rossli-interlaken.de.html,Hotel Rössli,"46.68577535,7.84903541","8,0","8,8",Bern
547,"Gsteig 6, 3814 Wilderswil, Schweiz", 666 ,2,Hotel,"7,6"," 8,1 ","9,0","7,5","8,5", Schweiz,https://www.booking.com/hotel/ch/gasthaus-steinbock.de.html,Gasthaus Steinbock Hotel Garni,"46.66484506,7.87208498","7,8","8,4",Bern
548,"Dorfstrasse 85, 3818 Grindelwald, Schweiz", 249 ,4,Hotel,"7,6"," 8,2 ","8,7","7,8","9,3", Schweiz,https://www.booking.com/hotel/ch/hotel-kreuz.de.html,Hotel Kreuz & Post,"46.62461437,8.03411990","6,9","8,7",Bern
549,"Hauptstrasse 36, 3800 Interlaken, Schweiz", 340 ,,Hotel,"6,1"," 6,7 ","7,5","6,3","7,6", Schweiz,https://www.booking.com/hotel/ch/mattenhof-resort.de.html,Mattenhof Resort,"46.67949509,7.86418855","6,0","6,7",Bern
550,"Seestrasse 67, 3700 Spiez, Schweiz", 289 ,,Hotel,"8,1"," 8,4 ","8,8","8,0","9,3", Schweiz,https://www.booking.com/hotel/ch/riviera-spiez3.de.html,Boutique Hotel Riviera,"46.68869360,7.68946317","7,6","8,6",Bern
551,"Alpenstrasse 45, 3800 Interlaken, Schweiz", 272 ,3,Hotel,"8,0"," 8,4 ","8,9","8,3","8,2", Schweiz,https://www.booking.com/hotel/ch/artos-interlaken.de.html,Hotel Artos Interlaken,"46.68533927,7.86628067","7,6","9,0",Bern
552,"Terrassenweg 104, 3818 Grindelwald, Schweiz", 139 ,3,Hotel,"9,0"," 9,1 ","9,6","9,2","9,2", Schweiz,https://www.booking.com/hotel/ch/bodmi.de.html,Hotel Bodmi Superior,"46.62865389,8.04194659","8,2","9,5",Bern
553,"Rue Docteur Schwab 2, 2610 Saint-Imier, Schweiz", 38 ,3,Hotel,"5,7"," 6,8 ","7,2","6,4","8,0", Schweiz,https://www.booking.com/hotel/ch/la-fontaine.de.html,Hôtel La Fontaine,"47.15325200,7.00091300","6,4","7,1",Bern
554,"Engi 448a, 6086 Hasliberg, Schweiz", 109 ,3,Hotel,"7,2"," 8,0 ","8,6","7,4","9,3", Schweiz,https://www.booking.com/hotel/ch/viktoria-hasliberg-reuti.de.html,Das Hotel Panorama,"46.73287058,8.20829049","6,9","8,5",Bern
555,"51 Bözingenstrasse, 2502 Biel/Bienne, Schweiz",NaN,3,Hotel,NaN,NaN,NaN,NaN,NaN, Schweiz,https://www.booking.com/hotel/ch/artist.de.html,Hotel Artist,"47.14774800,7.25690800",NaN,NaN,Bern
556,"Seestrasse 300, 3658 Merligen, Schweiz", 355 ,5,Hotel,"9,1"," 9,0 ","9,3","9,1","9,2", Schweiz,https://www.booking.com/hotel/ch/wellness-spa-beatus.de.html,BEATUS Wellness- & Spa-Hotel,"46.69646833,7.73755074","7,8","9,4",Bern
557,"Hubel 114, 3803 Beatenberg, Schweiz", 62 ,,Aparthotel,"8,2"," 8,4 ","8,6","8,4","8,6", Schweiz,https://www.booking.com/hotel/ch/apartment-seeblick-im-dorint-3803-beatenberg.de.html,Apartments Seeblick mit Anbindung an ein 4-Sterne-Hotel,"46.68970176,7.77354866","8,2","8,5",Bern
558,"Eichholzweg 20-24, 3123 Belp, Schweiz", 87 ,,Hotel,"8,9"," 8,8 ","8,8","8,9","8,4", Schweiz,https://www.booking.com/hotel/ch/q-c-m-campus.de.html,Q.C.M. Campus,"46.90242158,7.50217080","8,7","9,3",Bern
559,"Bahnhofstrasse 1, 2542 Pieterlen, Schweiz", 101 ,,Hotel,"7,4"," 8,0 ","8,6","7,5","8,0", Schweiz,https://www.booking.com/hotel/ch/restaurant-klapsterli.de.html,Hotel Restaurant Klösterli,"47.17492420,7.33833343","8,2","8,1",Bern
560,"Harderstrasse17, 3800 Interlaken, Schweiz", 332 ,,Gasthaus,"5,3"," 5,9 ","5,9","5,4","7,3", Schweiz,https://www.booking.com/hotel/ch/interlakenteng-yi-min-su.de.html,Interlaken Linda Inn Lodge,"46.68712980,7.85508731","5,4","5,9",Bern
561,"Aarmulestrasse 16, 3800 Interlaken, Schweiz", 295 ,,Gasthaus,"5,9"," 6,5 ","6,6","6,0","8,2", Schweiz,https://www.booking.com/hotel/ch/interlaken-linda-guest-house.de.html,Interlaken Marco Hostel,"46.68373771,7.85336316","5,9","6,5",Bern
562,"Kirchgasse 1, 3360 Herzogenbuchsee, Schweiz", 28 ,,Hotel,"8,3"," 8,3 ","8,1","8,4","8,8", Schweiz,https://www.booking.com/hotel/ch/kreuz-herzogenbuchsee.de.html,Kreuz Herzogenbuchsee,"47.18796060,7.70672450","7,3","9,1",Bern
563,"Schlösslistrasse 1, 3700 Spiez, Schweiz", 174 ,,Hotel,"8,5"," 9,0 ","9,6","8,5","9,2", Schweiz,https://www.booking.com/hotel/ch/movieworld.de.html,Hotel Movieworld,"46.68560424,7.68229455","8,6","9,2",Bern
564,"Jungfraustrasse 70, 3800 Interlaken, Schweiz", 548 ,3,Hotel,"7,8"," 8,2 ","8,6","8,0","8,3", Schweiz,https://www.booking.com/hotel/ch/derby.de.html,Hotel Derby,"46.68303554,7.85940886","7,5","8,7",Bern
565,"Bahnhofplatz 9, 3860 Meiringen, Schweiz", 267 ,4,Hotel,"9,1"," 9,2 ","9,4","9,2","9,2", Schweiz,https://www.booking.com/hotel/ch/victoria-meiringen.de.html,Hotel Victoria Meiringen,"46.72722000,8.18646803","8,4","9,8",Bern
566,"Seestrasse 90, 3654 Gunten, Schweiz", 434 ,3,Hotel,"8,2"," 8,6 ","9,1","8,3","9,4", Schweiz,https://www.booking.com/hotel/ch/parkhotel-gunten.de.html,Parkhotel Gunten – Beach & Spa,"46.71237510,7.70255461","7,7","9,0",Bern
567,"Hauptstrasse 60 Gasthof zum Bären, 3618 Südern, Schweiz", 25 ,,Gasthaus,"7,2"," 7,6 ","8,3","6,9","7,8", Schweiz,https://www.booking.com/hotel/ch/gasthof-zum-baren.de.html,Gasthof zum Bären,"46.81776200,7.75597600","7,2","8,4",Bern
568,"Marktgasse 1, 3454 Sumiswald, Schweiz", 56 ,3,Hotel,"8,8"," 9,0 ","9,4","8,9","8,9", Schweiz,https://www.booking.com/hotel/ch/baren-sumiswald.de.html,Hotel Bären,"47.02753900,7.74587300","8,7","9,4",Bern
569,"Alte Staatsstrasse 6, 3812 Wilderswil, Schweiz", 161 ,,Hotel,"6,7"," 7,7 ","8,7","6,9","8,4", Schweiz,https://www.booking.com/hotel/ch/restaurant-hirschen-wilderswil.de.html,Hotel Restaurant Hirschen,"46.66540095,7.87096113","7,1","8,1",Bern
570,"Hof 2, 3862 Innertkirchen, Schweiz", 98 ,,Hotel,"7,8"," 8,2 ","8,4","7,7","8,5", Schweiz,https://www.booking.com/hotel/ch/hof-und-post.de.html,Hotel Hof und Post,"46.70620454,8.22947009","7,9","9,0",Bern
571,"Oberdorfstrasse 1, 3812 Wilderswil, Schweiz", 240 ,3 Sterne,Gasthaus,"7,1"," 7,6 ","8,0","7,2","7,8", Schweiz,https://www.booking.com/hotel/ch/baeren.de.html,"Baeren Hotel, The Bear Inn","46.66386580,7.86066681","7,4","8,1",Bern
572,"Obere Gletscherstrasse 159, 3818 Grindelwald, Schweiz", 151 ,3,Hotel,"8,7"," 8,8 ","8,8","8,8","8,8", Schweiz,https://www.booking.com/hotel/ch/wetterhorn.de.html,Hotel Wetterhorn,"46.63229896,8.07077765","8,3","9,4",Bern
573,"Zaun 547, 3803 Beatenberg, Schweiz", 106 ,,Hotel,"6,4"," 7,3 ","8,5","6,5","7,8", Schweiz,https://www.booking.com/hotel/ch/restaurant-regina.de.html,Hotel Restaurant Regina,"46.70377300,7.80986845","7,3","7,6",Bern
574,"Stadtplatz 29, 3270 Aarberg, Schweiz", 110 ,,Gasthaus,"6,4"," 7,4 ","7,9","6,8","8,5", Schweiz,https://www.booking.com/hotel/ch/restaurant-krone-aarberg.de.html,Hotel-Restaurant Krone,"47.04403336,7.27602839","6,6","7,8",Bern
575,"Schwarzenburgstrasse 279, 3098 Bern, Schweiz", 230 ,,Hotel,"7,9"," 8,1 ","8,6","7,8","8,0", Schweiz,https://www.booking.com/hotel/ch/sternen-koniz-bern.de.html,Hotel Sternen Köniz,"46.92261853,7.41441295","7,6","8,9",Bern
576,"Engestrasse 54, Länggasse-Felsenau, 3012 Bern, Schweiz", 409 ,4,Hotel,"8,8"," 8,9 ","9,2","9,1","9,0", Schweiz,https://www.booking.com/hotel/ch/innere-enge.de.html,Unique Hotel Innere Enge,"46.96105560,7.43926026","8,0","9,2",Bern
577,"Urseni 329b, 6085 Hasliberg, Schweiz", 187 ,3 Sterne,Gasthaus,"7,5"," 8,3 ","9,2","7,6","9,0", Schweiz,https://www.booking.com/hotel/ch/gletscherblick.de.html,Hotel Gletscherblick,"46.74364797,8.19808602","7,8","8,6",Bern
578,"Interlakenstrasse 140, 3705 Faulensee, Schweiz", 228 ,,Hotel,"8,1"," 8,5 ","9,1","8,2","8,9", Schweiz,https://www.booking.com/hotel/ch/restaurant-mapve.de.html,Hotel Restaurant Möve,"46.66762814,7.71871895","7,7","8,8",Bern
579,"Kirchgasse 17, 3860 Meiringen, Schweiz", 42 ,4 Sterne,Gasthaus,"7,6"," 8,1 ","8,5","7,6","9,0", Schweiz,https://www.booking.com/hotel/ch/alpbach.de.html,Hotel Alpbach,"46.72854009,8.18828121","7,2","8,9",Bern
580,"Dorfstrasse 77/88, 3715 Adelboden, Schweiz", 81 ,3,Hotel,"7,8"," 8,6 ","9,1","8,3","8,9", Schweiz,https://www.booking.com/hotel/ch/waldhaus-huldi.de.html,Hotel Waldhaus & Huldi,"46.48852254,7.55377918","8,1","9,2",Bern
581,"Kirchbühl 2, 3402 Burgdorf, Schweiz", 64 ,4,Hotel,"9,0"," 9,2 ","9,5","9,1","9,3", Schweiz,https://www.booking.com/hotel/ch/stadthaus.de.html,Hotel Stadthaus,"47.05649171,7.62674868","8,3","9,7",Bern
582,"Oberdorfstrasse 3, 3812 Wilderswil, Schweiz", 194 ,3,Hotel,"7,4"," 7,9 ","8,6","7,3","8,1", Schweiz,https://www.booking.com/hotel/ch/alpenblick-wilderswil.de.html,Hotel Alpenblick Wilderswil,"46.66389341,7.86004722","7,4","8,4",Bern
583,"Dorfplatz 3, 3150 Schwarzenburg, Schweiz", 102 ,3,Hotel,"7,6"," 8,2 ","9,0","7,8","8,2", Schweiz,https://www.booking.com/hotel/ch/restaurant-sonne.de.html,Hotel & Restaurant Sonne,"46.81784277,7.34140456","7,6","9,0",Bern
584,"Thunstrasse 1, 3150 Schwarzenburg, Schweiz", 86 ,2,Hotel,"7,5"," 8,2 ","9,3","7,6","8,3", Schweiz,https://www.booking.com/hotel/ch/gasthof-buhl.de.html,Gasthof Bühl,"46.81836574,7.34390242","8,0","8,4",Bern
585,"Dorfstrasse 11, 3862 Innertkirchen, Schweiz", 235 ,,Hotel,"7,9"," 8,4 ","8,8","7,9","8,5", Schweiz,https://www.booking.com/hotel/ch/restaurant-urweider.de.html,Hotel Restaurant Urweider,"46.70549770,8.22609610","8,4","9,0",Bern
586,"Bergweg 14, 3283 Kallnach, Schweiz", 15 ,,Hotel,"10,0"," 9,8 ",10,"10,0","9,5", Schweiz,https://www.booking.com/hotel/ch/bijou-love-and-romance.de.html,Bijou Hotel / Love and Romance,"47.02142078,7.23381096","9,3","10,0",Bern
587,"Wagenkehr, 3862 Innertkirchen, Schweiz", 119 ,,Gasthaus,"7,6"," 8,4 ","9,1","7,6","9,0", Schweiz,https://www.booking.com/hotel/ch/panorama-wagenkehr.de.html,Panorama Hotel Wagenkehr,"46.72386494,8.26925137","8,4","8,7",Bern
588,"Seestrasse 16, 3800 Interlaken, Schweiz", 295 ,,Hotel,"7,9"," 8,3 ","8,9","7,8","8,6", Schweiz,https://www.booking.com/hotel/ch/beausite-budget.de.html,Hotel Beausite Budget,"46.68460695,7.84660399","7,8","8,6",Bern
589,"St. Petersinsel, 3235 Sankt Petersinsel, Schweiz", 65 ,,Hotel,"8,5"," 8,6 ","8,7","8,5","9,6", Schweiz,https://www.booking.com/hotel/ch/klosterhotel-st-petersinsel.de.html,Klosterhotel St. Petersinsel,"47.06981308,7.14248925","7,3","9,2",Bern
590,"Moosegg 231, 3543 Emmenmatt, Schweiz", 113 ,3,Hotel,"8,7"," 9,0 ","9,2","9,0","9,3", Schweiz,https://www.booking.com/hotel/ch/moosegg.de.html,Hotel Moosegg,"46.94513347,7.71186858","8,5","9,4",Bern
591,"Grimselpass, 3999 Historisches Alpinhotel Grimsel Hospiz, Schweiz",NaN,,Hotel,NaN,NaN,NaN,NaN,NaN, Schweiz,https://www.booking.com/hotel/ch/berghotel-grimselblick.de.html,Berghotel Grimselblick,"46.56140000,8.33758000",NaN,NaN,Bern
592,"Oltenstrasse, 1 Hotel Eintracht, 4538 Oberbipp, Schweiz",NaN,,Hotel,NaN,NaN,NaN,NaN,NaN, Schweiz,https://www.booking.com/hotel/ch/eintracht.de.html,Hotel Eintracht,"47.25794800,7.66473100",NaN,NaN,Bern
593,"Rue de la Reuchenette 3, 2603 Péry, Schweiz", 87 ,2 Sterne,Gasthaus,"7,0"," 7,6 ","8,1","7,2","7,3", Schweiz,https://www.booking.com/hotel/ch/la-truite.de.html,Hôtel La Truite,"47.18999317,7.24709004","7,6","8,0",Bern
594,"Grimselstrasse, 3864 Historisches Alpinhotel Grimsel Hospiz, Schweiz", 119 ,4,Hotel,"9,2"," 9,3 ","9,4","9,4","9,8", Schweiz,https://www.booking.com/hotel/ch/historisches-alpinhotel-grimsel-hospiz.de.html,Historisches Alpinhotel Grimsel Hospiz,"46.57187220,8.33261490","7,9","9,9",Bern
595,"Dürrenbühl 120a, 4954 Wyssachen, Schweiz", 75 ,,Gasthaus,"8,9"," 8,9 ","9,3","8,4","8,2", Schweiz,https://www.booking.com/hotel/ch/gasthof-rossli.de.html,Gasthof Rössli,"47.08325366,7.82471585","9,0","9,5",Bern
596,"Am Quai 3, 3806 Bönigen, Schweiz", 153 ,4,Hotel,"8,0"," 8,6 ","9,2","8,4","9,6", Schweiz,https://www.booking.com/hotel/ch/seiler-au-lac.de.html,Seiler au Lac,"46.68859047,7.89770812","7,4","8,7",Bern
597,"Appenbergstrasse 36, 3532 Zäziwil, Schweiz", 101 ,3,Hotel,"7,9"," 8,6 ","9,2","8,1","8,6", Schweiz,https://www.booking.com/hotel/ch/appenberg.de.html,Hotel Appenberg,"46.88377897,7.65988469","8,5","9,3",Bern
598,"Dorfstrasse 17, 3550 Langnau im Emmental, Schweiz", 65 ,3 Sterne,Gasthaus,"8,1"," 8,5 ","9,0","8,4","8,9", Schweiz,https://www.booking.com/hotel/ch/hirschen-langnau.de.html,Hotel Hirschen,"46.94009393,7.78607726","7,7","9,1",Bern
599,"Wangenstrasse 55, 3380 Wangen an der Aare, Schweiz", 215 ,3,Hotel,"8,8"," 8,8 ","9,2","8,8","8,7", Schweiz,https://www.booking.com/hotel/ch/al-ponte.de.html,Hotel Al Ponte,"47.24013511,7.65286803","8,2","9,4",Bern
600,"Bahnhofplatz 1, 3860 Meiringen, Schweiz", 205 ,3,Hotel,"8,3"," 8,7 ","9,0","8,5","8,9", Schweiz,https://www.booking.com/hotel/ch/meiringen.de.html,Hotel Meiringen,"46.72797289,8.18477288","8,2","9,1",Bern
601,"Dorfstrasse 47, Hilterfingen, 3652 Thun, Schweiz", 129 ,3,Hotel,"8,4"," 8,8 ","9,3","8,6","9,1", Schweiz,https://www.booking.com/hotel/ch/restaurant-schonbuhl.de.html,Hotel Restaurant Schönbühl,"46.73809411,7.65725546","7,9","9,2",Bern
602,"Dorfstrasse 15, 3704 Krattigen, Schweiz", 460 ,3,Hotel,"8,1"," 8,6 ","9,3","8,3","9,3", Schweiz,https://www.booking.com/hotel/ch/bellevue-ba-ren-and-restaurant.de.html,Bellevue Bären Hotel and Restaurant,"46.66071860,7.72563837","8,1","8,6",Bern
603,"Schlossberg 49, 3534 Signau, Schweiz", 119 ,,Gasthaus,"8,5"," 8,7 ","9,3","8,9","7,7", Schweiz,https://www.booking.com/hotel/ch/gasthof-schlossberg-bori.de.html,Gasthof Schlossberg Bori,"46.90651512,7.71114258","8,6","9,1",Bern
604,"Bernstrasse 59, Stettlen, 3066 Bern, Schweiz", 319 ,3,Hotel,"7,1"," 7,4 ","8,2","7,0","7,2", Schweiz,https://www.booking.com/hotel/ch/seminarhotel-linde-stettlen.de.html,Seminarhotel Linde Stettlen,"46.95868859,7.52414815","6,7","8,1",Bern
